Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\AspectInjector.Analyzer\AspectInjector.Analyzer.csproj,File,src\AspectInjector.Analyzer\AspectInjector.Analyzer.csproj,,,System.Runtime.InteropServices 4.3.0,,,,,"System.Runtime.InteropServices, 4.3.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\AspectInjector.Analyzer\AspectInjector.Analyzer.csproj,File,src\AspectInjector.Analyzer\AspectInjector.Analyzer.csproj,,,,,,,,Current target framework: netstandard2.0;netstandard2.1 Recommended target framework: netstandard2.0;netstandard2.1;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AspectInjector.Analyzer\AspectInjector.Analyzer.csproj,File,src\AspectInjector.Analyzer\CodeFixes\AspectCodeFixProvider.cs,14,87,M:System.Composition.SharedAttribute.#ctor,,,,,Shared
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AspectInjector.Analyzer\AspectInjector.Analyzer.csproj,File,src\AspectInjector.Analyzer\CodeFixes\AspectCodeFixProvider.cs,14,87,T:System.Composition.SharedAttribute,,,,,Shared
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AspectInjector.Analyzer\AspectInjector.Analyzer.csproj,File,src\AspectInjector.Analyzer\CodeFixes\MixinCodeFixProvider.cs,14,87,M:System.Composition.SharedAttribute.#ctor,,,,,Shared
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AspectInjector.Analyzer\AspectInjector.Analyzer.csproj,File,src\AspectInjector.Analyzer\CodeFixes\MixinCodeFixProvider.cs,14,87,T:System.Composition.SharedAttribute,,,,,Shared
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\AspectInjector.Analyzer.Tests\AspectInjector.Analyzer.Tests.csproj,File,tests\AspectInjector.Analyzer.Tests\AspectInjector.Analyzer.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\AspectInjector.Tests.Generics\AspectInjector.Tests.Generics.csproj,File,tests\AspectInjector.Tests.Generics\AspectInjector.Tests.Generics.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\AspectInjector.Tests.Integrity\AspectInjector.Tests.Integrity.csproj,File,tests\AspectInjector.Tests.Integrity\AspectInjector.Tests.Integrity.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,tests\AspectInjector.Tests.Runtime\AspectInjector.Tests.Runtime.csproj,File,tests\AspectInjector.Tests.Runtime\AspectInjector.Tests.Runtime.csproj,,,Microsoft.NETFramework.ReferenceAssemblies 1.0.3,,,,,"Microsoft.NETFramework.ReferenceAssemblies, 1.0.3  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\AspectInjector.Tests.Runtime\AspectInjector.Tests.Runtime.csproj,File,tests\AspectInjector.Tests.Runtime\AspectInjector.Tests.Runtime.csproj,,,,,,,,Current target framework: net6.0;net8.0;net462;net481 Recommended target framework: net6.0;net8.0;net462;net481;net10.0
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,tests\AspectInjector.Tests.RuntimeAssets\AspectInjector.Tests.RuntimeAssets.csproj,File,tests\AspectInjector.Tests.RuntimeAssets\AspectInjector.Tests.RuntimeAssets.csproj,,,Microsoft.NETFramework.ReferenceAssemblies 1.0.3,,,,,"Microsoft.NETFramework.ReferenceAssemblies, 1.0.3  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\AspectInjector.Tests.RuntimeAssets\AspectInjector.Tests.RuntimeAssets.csproj,File,tests\AspectInjector.Tests.RuntimeAssets\AspectInjector.Tests.RuntimeAssets.csproj,,,,,,,,Current target framework: netstandard2.0;net8.0;net6.0;net462;net481 Recommended target framework: netstandard2.0;net8.0;net6.0;net462;net481;net10.0
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,tests\AspectInjector.Tests.VBRuntime\AspectInjector.Tests.VBRuntime.vbproj,File,tests\AspectInjector.Tests.VBRuntime\AspectInjector.Tests.VBRuntime.vbproj,,,Microsoft.NETFramework.ReferenceAssemblies 1.0.3,,,,,"Microsoft.NETFramework.ReferenceAssemblies, 1.0.3  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,tests\AspectInjector.Tests.VBRuntime\AspectInjector.Tests.VBRuntime.vbproj,File,tests\AspectInjector.Tests.VBRuntime\AspectInjector.Tests.VBRuntime.vbproj,,,Microsoft.VisualBasic 10.3.0,,,,,"Microsoft.VisualBasic, 10.3.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\AspectInjector.Tests.VBRuntime\AspectInjector.Tests.VBRuntime.vbproj,File,tests\AspectInjector.Tests.VBRuntime\AspectInjector.Tests.VBRuntime.vbproj,,,,,,,,Current target framework: net6.0;net8.0 Recommended target framework: net6.0;net8.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,aspects\Cache\Aspects.Cache.csproj,File,aspects\Cache\AbstractAttributes.cs,92,12,"M:System.Text.Json.JsonSerializer.Deserialize(System.ReadOnlySpan{System.Byte},System.Type,System.Text.Json.JsonSerializerOptions)",,,,,"return JsonSerializer.Deserialize(data, type);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,aspects\Logging\Aspects.Logging.csproj,File,aspects\Logging\LoggingAspect.cs,13,12,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,LoggerFactory =              Microsoft.Extensions.Logging.LoggerFactory.Create(builder =>                  builder.AddConsole());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,aspects\Logging\Aspects.Logging.csproj,File,aspects\Logging\LoggingAspect.cs,13,12,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,LoggerFactory =              Microsoft.Extensions.Logging.LoggerFactory.Create(builder =>                  builder.AddConsole());
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Aspects.Tests\Aspects.Tests.csproj,File,tests\Aspects.Tests\Aspects.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
